RND,model,MSE,LPIPS_alex,LPIPS_vgg,LPIPS_squeeze,LPIPS_alex_norsz,LPIPS_vgg_norsz,LPIPS_squeeze_norsz
0,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Gaussian,0.024434874,0.4398365020751953,0.46228092908859253,0.3265722095966339,0.38274824619293213,0.4867042303085327,0.430965393781662
0,Delta,0.059842896,0.4595608711242676,0.6132573485374451,0.36552926898002625,0.33740705251693726,0.48856064677238464,0.2908969223499298
1,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Gaussian,0.024583274,0.5094293355941772,0.5254292488098145,0.40029647946357727,0.3612096309661865,0.5365716218948364,0.4204718768596649
1,Delta,0.05882669,0.39634940028190613,0.5192463397979736,0.30941107869148254,0.20776139199733734,0.4340423345565796,0.2241945117712021
2,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Gaussian,0.013457763,0.39912334084510803,0.4324685335159302,0.3045145869255066,0.32217949628829956,0.4776526689529419,0.29607880115509033
2,Delta,0.062254816,0.421613484621048,0.5214135050773621,0.30722352862358093,0.2126486897468567,0.49166226387023926,0.24959436058998108
3,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Gaussian,0.023402834,0.47757288813591003,0.46367353200912476,0.3468747138977051,0.3615691661834717,0.4773428738117218,0.3880631923675537
3,Delta,0.09324411,0.4666905999183655,0.5215578079223633,0.3429810404777527,0.2946318984031677,0.5444225668907166,0.3364388942718506
4,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Gaussian,0.015207139,0.4222061038017273,0.47626662254333496,0.28509828448295593,0.20672601461410522,0.47001105546951294,0.32715603709220886
4,Delta,0.058659185,0.49738824367523193,0.6130521297454834,0.3921635150909424,0.31565937399864197,0.49247756600379944,0.30320557951927185
5,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Gaussian,0.010685376,0.4101710915565491,0.4342876672744751,0.3089773952960968,0.2978762984275818,0.45853951573371887,0.36860203742980957
5,Delta,0.052934337,0.4550591707229614,0.5998141765594482,0.3563731908798218,0.31073588132858276,0.5492477416992188,0.2771514356136322
6,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Gaussian,0.015841829,0.47220075130462646,0.4997119903564453,0.35519203543663025,0.38548746705055237,0.4964827001094818,0.40408557653427124
6,Delta,0.030174976,0.4005381762981415,0.46256351470947266,0.2830798327922821,0.25150907039642334,0.35834869742393494,0.21792171895503998
7,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Gaussian,0.015894929,0.400680810213089,0.435317724943161,0.2946704626083374,0.32847368717193604,0.4515438973903656,0.32818838953971863
7,Delta,0.076597705,0.5170579552650452,0.6011093258857727,0.4171311855316162,0.38677191734313965,0.5547269582748413,0.3491640090942383
8,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Gaussian,0.013052289,0.4275698661804199,0.4470445513725281,0.31727394461631775,0.3815920650959015,0.4493890404701233,0.43396350741386414
8,Delta,0.04384482,0.4512483477592468,0.5970772504806519,0.3686622679233551,0.2970436215400696,0.5859028100967407,0.26808488368988037
9,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Gaussian,0.011328985,0.4878252148628235,0.4654426574707031,0.34747305512428284,0.3666006028652191,0.4902299642562866,0.3668467104434967
9,Delta,0.059185445,0.46245646476745605,0.5441491603851318,0.3682992160320282,0.28662341833114624,0.4821619689464569,0.22160649299621582
10,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Gaussian,0.012796073,0.43857279419898987,0.4649578928947449,0.3171100914478302,0.394120991230011,0.4786902070045471,0.3733315169811249
10,Delta,0.048598345,0.43520528078079224,0.5501945614814758,0.34643638134002686,0.27012336254119873,0.43643566966056824,0.23539865016937256
11,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Gaussian,0.012410735,0.49883323907852173,0.4711517095565796,0.36542627215385437,0.46276241540908813,0.503226101398468,0.5145037174224854
11,Delta,0.06234164,0.4999425709247589,0.6539077758789062,0.4223410189151764,0.34873098134994507,0.584664523601532,0.3044406771659851
12,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Gaussian,0.026630282,0.4853765070438385,0.47926151752471924,0.33373066782951355,0.37691831588745117,0.4888245463371277,0.48797863721847534
12,Delta,0.08330784,0.5272805690765381,0.5681962966918945,0.4057867228984833,0.41400495171546936,0.580558717250824,0.37179189920425415
13,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Gaussian,0.022251017,0.4461974799633026,0.5153839588165283,0.348189115524292,0.4300921559333801,0.5068686008453369,0.42409494519233704
13,Delta,0.04789622,0.3110031485557556,0.41949766874313354,0.23212063312530518,0.22545143961906433,0.36738312244415283,0.21350625157356262
14,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Gaussian,0.024974843,0.4809001684188843,0.4798007607460022,0.32461977005004883,0.4480844736099243,0.4996764361858368,0.421250581741333
14,Delta,0.07349822,0.5361339449882507,0.622887909412384,0.39013516902923584,0.35882440209388733,0.53022301197052,0.3192327320575714
15,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Gaussian,0.027743578,0.3878408968448639,0.4605894088745117,0.30648139119148254,0.30719566345214844,0.44018009305000305,0.33056288957595825
15,Delta,0.08622867,0.5071981549263,0.6851322650909424,0.4220311939716339,0.3639903664588928,0.6515103578567505,0.38659828901290894
16,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Gaussian,0.015483361,0.49190235137939453,0.4722540080547333,0.36000871658325195,0.5421084761619568,0.500941276550293,0.4547017514705658
16,Delta,0.06831784,0.5796326994895935,0.644758403301239,0.45220786333084106,0.4714045822620392,0.5861632823944092,0.34343981742858887
17,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Gaussian,0.015278627,0.5065893530845642,0.47985729575157166,0.3254048824310303,0.5443950891494751,0.46859118342399597,0.36635923385620117
17,Delta,0.0621575,0.5752101540565491,0.6155550479888916,0.48650163412094116,0.6057406067848206,0.585680365562439,0.3702958822250366
18,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Gaussian,0.017339526,0.4672694802284241,0.4986220598220825,0.3351398706436157,0.32107439637184143,0.5029418468475342,0.35691747069358826
18,Delta,0.08007679,0.5045871734619141,0.5662066340446472,0.3872893452644348,0.4016169011592865,0.5194258093833923,0.33629316091537476
19,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Gaussian,0.016958574,0.42216575145721436,0.41591429710388184,0.29000455141067505,0.3240273892879486,0.4464881420135498,0.27875277400016785
19,Delta,0.06205399,0.4673357605934143,0.5824958086013794,0.374003529548645,0.21046797931194305,0.5396879315376282,0.3533058762550354
20,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Gaussian,0.020112596,0.5050650835037231,0.4916858971118927,0.35521984100341797,0.4581984877586365,0.5123526453971863,0.4557952284812927
20,Delta,0.029121205,0.28685933351516724,0.39589405059814453,0.23447763919830322,0.10955102741718292,0.3023083508014679,0.13360440731048584
21,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Gaussian,0.0116775455,0.46165189146995544,0.48544228076934814,0.36088791489601135,0.36696797609329224,0.5194571018218994,0.415563702583313
21,Delta,0.047989246,0.5035989284515381,0.6556422710418701,0.4267346262931824,0.3237016499042511,0.5962899923324585,0.3473024070262909
22,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Gaussian,0.014359812,0.4391256868839264,0.45549094676971436,0.32164832949638367,0.37073731422424316,0.45496612787246704,0.4268847703933716
22,Delta,0.05546171,0.48487773537635803,0.5892481207847595,0.3520546853542328,0.39105916023254395,0.565447986125946,0.35124683380126953
23,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Gaussian,0.013765454,0.4259481430053711,0.4280409812927246,0.28138500452041626,0.360108882188797,0.47067201137542725,0.4016832709312439
23,Delta,0.04003128,0.3509388864040375,0.509364902973175,0.29550251364707947,0.15208697319030762,0.36834582686424255,0.17866621911525726
24,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Gaussian,0.013345824,0.4123386740684509,0.4424130916595459,0.2930525243282318,0.4054473042488098,0.47013819217681885,0.3211379051208496
24,Delta,0.047297556,0.3500630855560303,0.47858095169067383,0.300435870885849,0.2691500186920166,0.3473068177700043,0.23306715488433838
25,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Gaussian,0.01537367,0.3916972577571869,0.4316897988319397,0.28429585695266724,0.2649717926979065,0.43903160095214844,0.3203386962413788
25,Delta,0.045374926,0.4142223298549652,0.524111270904541,0.34673282504081726,0.25589269399642944,0.4815583825111389,0.2640180289745331
26,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Gaussian,0.032440014,0.540843665599823,0.5143717527389526,0.36410781741142273,0.4145258665084839,0.5390109419822693,0.45577937364578247
26,Delta,0.08335509,0.4570760428905487,0.4825585186481476,0.3471837639808655,0.31418538093566895,0.5279512405395508,0.2730272710323334
27,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Gaussian,0.014556742,0.45972955226898193,0.4829813241958618,0.34293892979621887,0.4402495324611664,0.4966391921043396,0.5242292881011963
27,Delta,0.040002607,0.3372389078140259,0.4569937288761139,0.267219215631485,0.21147321164608002,0.360914945602417,0.17340153455734253
28,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Gaussian,0.02167294,0.538182258605957,0.5392212867736816,0.39545947313308716,0.4229501783847809,0.532396137714386,0.40510037541389465
28,Delta,0.077887446,0.43838024139404297,0.5570323467254639,0.3395126760005951,0.2318132072687149,0.45520392060279846,0.27334725856781006
29,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Gaussian,0.010474801,0.37563908100128174,0.43161648511886597,0.2738555669784546,0.19617125391960144,0.4378073215484619,0.3012998104095459
29,Delta,0.044856727,0.4558756351470947,0.5715283751487732,0.3622758388519287,0.2155117392539978,0.47444748878479004,0.30868226289749146
30,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Gaussian,0.011083423,0.3933694064617157,0.4492311477661133,0.2725912034511566,0.27294111251831055,0.42771995067596436,0.38061946630477905
30,Delta,0.030179283,0.42885464429855347,0.5845569968223572,0.3395637273788452,0.34529247879981995,0.5160457491874695,0.22766432166099548
31,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Gaussian,0.013806286,0.4510576128959656,0.4516098201274872,0.31627994775772095,0.3256480097770691,0.4820537269115448,0.44611936807632446
31,Delta,0.034151588,0.49028295278549194,0.6265012621879578,0.39517754316329956,0.3190602660179138,0.5857656002044678,0.3910968005657196
32,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Gaussian,0.0101659745,0.37773287296295166,0.4375443160533905,0.28494858741760254,0.24758903682231903,0.439543753862381,0.31362974643707275
32,Delta,0.05122083,0.4758703410625458,0.5563794374465942,0.37562718987464905,0.31322768330574036,0.5375213027000427,0.3081294000148773
33,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Gaussian,0.020210892,0.47499674558639526,0.46749114990234375,0.31321659684181213,0.26414814591407776,0.45899683237075806,0.35832709074020386
33,Delta,0.08081028,0.43567267060279846,0.5887212157249451,0.37512651085853577,0.2627647817134857,0.5526005029678345,0.2966364026069641
34,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Gaussian,0.041306738,0.5161883234977722,0.5189986824989319,0.3779825270175934,0.41853243112564087,0.5379900932312012,0.487396240234375
34,Delta,0.08274866,0.4559299647808075,0.5270372629165649,0.3394532799720764,0.3386535346508026,0.514801561832428,0.29407161474227905
35,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Gaussian,0.009749443,0.436582088470459,0.4584687352180481,0.32187914848327637,0.3594266176223755,0.4577764868736267,0.3643288314342499
35,Delta,0.05558425,0.4937015771865845,0.534432053565979,0.3754473924636841,0.3678918480873108,0.5166375041007996,0.3370535671710968
36,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Gaussian,0.00938204,0.42984041571617126,0.4074013829231262,0.2771102786064148,0.2913335859775543,0.4190124571323395,0.3309098780155182
36,Delta,0.043237355,0.45342421531677246,0.593924880027771,0.3551208972930908,0.29742100834846497,0.5557148456573486,0.2897719144821167
37,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Gaussian,0.01892324,0.5181122422218323,0.5149435997009277,0.4119539260864258,0.44126033782958984,0.5451208353042603,0.521821141242981
37,Delta,0.05209619,0.456246554851532,0.5481420755386353,0.36437568068504333,0.3120468556880951,0.4992292523384094,0.2921666204929352
38,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Gaussian,0.015799014,0.5260875821113586,0.504939615726471,0.39491814374923706,0.42661044001579285,0.49621376395225525,0.45818451046943665
38,Delta,0.06016608,0.42575404047966003,0.5314088463783264,0.31422704458236694,0.224678635597229,0.44228288531303406,0.2504878044128418
39,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Gaussian,0.014111402,0.4266700744628906,0.4127114415168762,0.3051358163356781,0.2846890985965729,0.4358866214752197,0.3663738965988159
39,Delta,0.07457358,0.4005606174468994,0.5422367453575134,0.3340459167957306,0.23002135753631592,0.4458043575286865,0.26469409465789795
40,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Gaussian,0.014589279,0.38001084327697754,0.4049296975135803,0.2660769820213318,0.3729490041732788,0.42701414227485657,0.3412964344024658
40,Delta,0.06518879,0.5419374704360962,0.5726541876792908,0.4086845815181732,0.5828894972801208,0.5844066739082336,0.405709445476532
41,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Gaussian,0.025483275,0.5115804672241211,0.4982096552848816,0.36819252371788025,0.3800705671310425,0.5098142027854919,0.4222795367240906
41,Delta,0.06955878,0.4237178564071655,0.5124952793121338,0.35855671763420105,0.2377406656742096,0.4493393898010254,0.27155476808547974
42,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Gaussian,0.011381835,0.4467422068119049,0.4745922088623047,0.340361088514328,0.29929155111312866,0.4762364625930786,0.38413068652153015
42,Delta,0.02373639,0.33472883701324463,0.5556135177612305,0.3170967102050781,0.18476632237434387,0.414814829826355,0.2423633337020874
43,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Gaussian,0.011976522,0.44500425457954407,0.462253212928772,0.30155593156814575,0.26987066864967346,0.4641852080821991,0.4125739634037018
43,Delta,0.03469349,0.4663388133049011,0.5620892643928528,0.35493215918540955,0.21045637130737305,0.4680114984512329,0.2330448180437088
44,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Gaussian,0.019516462,0.42777615785598755,0.4566341042518616,0.325023353099823,0.2694225311279297,0.47073912620544434,0.38749751448631287
44,Delta,0.059067477,0.42274710536003113,0.5119926333427429,0.321185827255249,0.25355812907218933,0.46119439601898193,0.2765805125236511
45,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Gaussian,0.014257476,0.3647099733352661,0.414554238319397,0.25353285670280457,0.23631614446640015,0.4234488010406494,0.3052089214324951
45,Delta,0.047078878,0.49074897170066833,0.528616189956665,0.3907965123653412,0.3153730034828186,0.4992126524448395,0.3242725729942322
46,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Gaussian,0.009347682,0.43955397605895996,0.4381120204925537,0.3336977958679199,0.32846638560295105,0.4679405391216278,0.388485312461853
46,Delta,0.056918237,0.5201220512390137,0.6522459983825684,0.4456898272037506,0.3440960645675659,0.5996770858764648,0.343285471200943
47,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Gaussian,0.027110828,0.5567894577980042,0.5123443603515625,0.38063591718673706,0.420620858669281,0.5202713012695312,0.411652147769928
47,Delta,0.07837754,0.4189961850643158,0.5314873456954956,0.3324008584022522,0.2134139984846115,0.4577547609806061,0.27502572536468506
48,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Gaussian,0.011443365,0.4525778293609619,0.4474436342716217,0.3322128355503082,0.3135806918144226,0.48803582787513733,0.40524226427078247
48,Delta,0.06446222,0.4808945059776306,0.5867128372192383,0.4224478602409363,0.3358752131462097,0.5136855840682983,0.33829212188720703
49,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Gaussian,0.0130521385,0.41150331497192383,0.438101589679718,0.26796117424964905,0.31888526678085327,0.4099317789077759,0.27207061648368835
49,Delta,0.062109575,0.46643292903900146,0.6409178972244263,0.33981791138648987,0.4024235010147095,0.5485624074935913,0.2553161382675171
50,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,Gaussian,0.017915687,0.43419206142425537,0.4563406705856323,0.2918394207954407,0.29183995723724365,0.46117669343948364,0.30137765407562256
50,Delta,0.09520873,0.5415622591972351,0.6126053929328918,0.4247903823852539,0.42827725410461426,0.5825307369232178,0.40814775228500366
51,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Gaussian,0.014049083,0.49133753776550293,0.48866814374923706,0.3713717758655548,0.2924681603908539,0.5208020806312561,0.3559955656528473
51,Delta,0.055882275,0.4217728078365326,0.5104876756668091,0.33729708194732666,0.3159674108028412,0.4482930898666382,0.3068404495716095
52,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Gaussian,0.011963206,0.3730798363685608,0.43567395210266113,0.2728005051612854,0.2663903832435608,0.43526774644851685,0.29124701023101807
52,Delta,0.048008967,0.5428645610809326,0.6644777059555054,0.43421632051467896,0.4298214614391327,0.5509611368179321,0.3697167634963989
53,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Gaussian,0.015688462,0.4253174662590027,0.4748227000236511,0.32510796189308167,0.3764984607696533,0.4914211332798004,0.40925419330596924
53,Delta,0.06288371,0.4513886868953705,0.5733994841575623,0.3950333595275879,0.2689657211303711,0.545610785484314,0.2960079610347748
54,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Gaussian,0.010908213,0.3705371022224426,0.40335020422935486,0.2571762204170227,0.31538039445877075,0.41365525126457214,0.289065420627594
54,Delta,0.0667369,0.486815869808197,0.5779167413711548,0.3806602656841278,0.2845287621021271,0.48877236247062683,0.29002273082733154
55,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Gaussian,0.013783763,0.4487941265106201,0.4774501919746399,0.32472920417785645,0.3256542682647705,0.4905257225036621,0.4068995714187622
55,Delta,0.04042548,0.4210853576660156,0.5399250984191895,0.32357722520828247,0.29114043712615967,0.5028120279312134,0.26592370867729187
56,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
