RND,model,MSE,LPIPS_alex,LPIPS_vgg,LPIPS_squeeze,LPIPS_alex_norsz,LPIPS_vgg_norsz,LPIPS_squeeze_norsz
0,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Gaussian,0.0071919006,0.3574502766132355,0.40304774045944214,0.2636244595050812,0.10042935609817505,0.41697099804878235,0.4413469135761261
0,GMM,0.006281203,0.36223164200782776,0.41308560967445374,0.2646210789680481,0.09077056497335434,0.4110042154788971,0.4532613754272461
0,Delta,0.019929111,0.4318550229072571,0.5175714492797852,0.33863693475723267,0.12181565165519714,0.5001388192176819,0.18760451674461365
1,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Gaussian,0.008779166,0.2485089898109436,0.3602084815502167,0.2017774134874344,0.039548732340335846,0.34112629294395447,0.12939582765102386
1,GMM,0.0098209875,0.25988855957984924,0.3933382034301758,0.22183775901794434,0.04403920844197273,0.37039846181869507,0.1801639199256897
1,Delta,0.039775066,0.37552952766418457,0.557612419128418,0.290591299533844,0.06606219708919525,0.3492339551448822,0.12022621929645538
2,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Gaussian,0.036771398,0.38834452629089355,0.48098134994506836,0.3047769069671631,0.08534766733646393,0.4413868188858032,0.2904549241065979
2,GMM,0.02878592,0.35620519518852234,0.4500845968723297,0.28659695386886597,0.08294906467199326,0.4153299629688263,0.2720573842525482
2,Delta,0.07855482,0.4681345522403717,0.6293126344680786,0.3977768123149872,0.15933379530906677,0.4936319887638092,0.27715885639190674
3,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Gaussian,0.016006825,0.3919709622859955,0.47895991802215576,0.32731524109840393,0.1336912214756012,0.40535593032836914,0.39300012588500977
3,GMM,0.013234449,0.3292347490787506,0.435164213180542,0.28570979833602905,0.10859784483909607,0.3651891052722931,0.33450552821159363
3,Delta,0.06541001,0.5211496949195862,0.5831272602081299,0.38580214977264404,0.1732909232378006,0.5065854787826538,0.2590675354003906
4,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Gaussian,0.014730717,0.42996445298194885,0.46072351932525635,0.3529517352581024,0.11103504151105881,0.5339723825454712,0.5171425342559814
4,GMM,0.01363078,0.3987220823764801,0.455837607383728,0.3204151690006256,0.0986778736114502,0.526141881942749,0.5202438831329346
4,Delta,0.056884438,0.43800604343414307,0.48554980754852295,0.3277016878128052,0.09127217531204224,0.4240877032279968,0.17662684619426727
5,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Gaussian,0.012659195,0.4105378985404968,0.4922782778739929,0.3638627231121063,0.0750659853219986,0.4628205895423889,0.39283648133277893
5,GMM,0.009950685,0.3964258134365082,0.48830854892730713,0.3526274561882019,0.06740610301494598,0.4744376242160797,0.359375
5,Delta,0.009524432,0.18399034440517426,0.2857458293437958,0.1404295116662979,0.048223432153463364,0.25974488258361816,0.07370065152645111
6,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Gaussian,0.02175801,0.40680742263793945,0.4890083074569702,0.30839890241622925,0.11119800806045532,0.43450117111206055,0.28976181149482727
