n_clusters,n_rank,eval_loss,Nparams
1,3072,153.9945510864258,9443329
1,2560,153.92645141601562,7869953
1,2048,153.72062713623046,6296577
1,1536,154.11487182617188,4723201
1,1024,157.24928436279296,3149825
1,768,163.9827786254883,2363137
1,512,183.7735430908203,1576449
1,374,210.29160186767578,1152375
1,256,255.9636001586914,789761
1,192,304.99297912597655,593089
1,128,391.95452392578125,396417
1,96,466.75280029296874,298081
1,64,584.7431359863281,199745
1,32,836.9703601074219,101409
1,16,1167.639376220703,52241
1,8,1569.9694458007812,27657
5,3072,150.08112915039064,47216645
5,2560,149.96724273681642,39349765
5,2048,149.96586120605468,31482885
5,1536,149.94511871337892,23616005
5,1024,152.7555484008789,15749125
5,768,158.14432647705078,11815685
5,512,177.31318634033204,7882245
5,374,201.72304962158202,5761875
5,256,248.6805078125,3948805
5,192,296.0487161254883,2965445
5,128,384.29868286132813,1982085
5,96,455.15165466308594,1490405
5,64,582.0854016113282,998725
5,32,800.3429382324218,507045
5,16,1104.3626745605468,261205
5,8,1476.2419384765626,138285
10,3072,146.97750274658202,94433290
10,2560,146.5314028930664,78699530
10,2048,146.9203302001953,62965770
10,1536,147.24986755371094,47232010
10,1024,149.09994415283202,31498250
10,768,154.15683654785155,23631370
10,512,170.53428863525392,15764490
10,374,195.58590545654297,11523750
10,256,239.10707427978517,7897610
10,192,287.7207208251953,5930890
10,128,368.33231689453123,3964170
10,96,444.559638671875,2980810
10,64,551.1076806640625,1997450
10,32,798.4811950683594,1014090
10,16,1069.7153369140624,522410
10,8,1426.0818676757813,276570
20,3072,140.40769134521486,188866580
20,2560,140.29954681396484,157399060
20,2048,140.22841064453124,125931540
20,1536,140.44915496826172,94464020
20,1024,141.68527282714842,62996500
20,768,145.53096740722657,47262740
20,512,160.1790850830078,31528980
20,374,182.2361831665039,23047500
20,256,224.65809814453124,15795220
20,192,271.4032012939453,11861780
20,128,354.22968139648435,7928340
20,96,432.7292150878906,5961620
20,64,530.5456719970703,3994900
20,32,778.219111328125,2028180
20,16,1054.9323425292969,1044820
20,8,1394.0715283203126,553140
50,3072,125.15255236816407,472166450
50,2560,125.13106964111329,393497650
50,2048,125.07954669189454,314828850
50,1536,125.07207678222656,236160050
50,1024,125.45599090576172,157491250
50,768,126.28273779296875,118156850
50,512,134.53661450195312,78822450
50,374,151.38121551513672,57618750
50,256,189.05208471679688,39488050
50,192,232.5542001953125,29654450
50,128,316.6436419677734,19820850
50,96,397.7745753173828,14904050
50,64,505.98348828125,9987250
50,32,753.9560715332032,5070450
50,16,1032.3281215820311,2612050
50,8,1354.2535825195312,1382850
100,3072,108.35224899291993,944332900
100,2560,108.41626251220703,786995300
100,2048,108.25081185913086,629657700
100,1536,108.2490944519043,472320100
100,1024,108.71755014038087,314982500
100,768,108.66901608276368,236313700
100,512,111.33701498413086,157644900
100,374,119.71425897216797,115237500
100,256,148.3181900024414,78976100
100,192,187.4339464416504,59308900
100,128,267.21526049804686,39641700
100,96,343.3643843383789,29808100
100,64,467.094044128418,19974500
100,32,730.9029340820313,10140900
100,16,1022.145442993164,5224100
100,8,1326.706910888672,2765700
