n_clusters,n_rank,eval_loss,Nparams
500,1024,62.75478416900635,1574912500
500,768,62.71682168579102,1181568500
500,512,62.61348238220215,788224500
500,374,62.80937216949463,576187500
500,256,64.26337754058838,394880500
500,192,68.93856249084473,296544500
500,128,100.09154320526123,198208500
500,96,142.38477299346923,149040500
500,64,230.0243858306885,99872500
500,32,489.4585694869995,50704500
500,16,819.9244606414795,26120500
500,8,1153.434658706665,13828500
200,1024,85.53369409942627,629965000
200,768,85.46309753417968,472627400
200,512,85.91359040832519,315289800
200,374,85.63827560424805,230475000
200,256,95.7424079284668,157952200
200,192,120.44354954528809,118617800
200,128,182.3716244430542,79283400
200,96,258.90845806884766,59616200
200,64,374.9686435928345,39949000
200,32,694.9205389785767,20281800
200,16,993.0212217483521,10448200
200,8,1269.657077911377,5531400
150,1024,96.82559829711914,472473750
150,768,96.91672647094727,354470550
150,512,98.16151334381104,236467350
150,374,101.97376251983643,172856250
150,256,120.08511267852784,118464150
150,192,152.25010186004639,88963350
150,128,230.14010704040527,59462550
150,96,293.7375741424561,44712150
150,64,440.90453228759765,29961750
150,32,728.2670108337402,15211350
150,16,996.1236822509766,7836150
150,8,1360.653059173584,4148550
