n_clusters,n_rank,eval_loss_arr,Nparams
1,784,"[582.2855834960938, 404.16405029296874, 342.1126708984375, 303.1650390625, 273.8417602539063, 249.50830993652343, 229.22523193359376, 213.32340087890626, 197.9446044921875, 185.36217041015624, 173.93482055664063, 163.15805358886718, 153.25933227539062, 143.93923950195312, 135.96318664550782, 128.65917053222657, 121.6090103149414, 114.58524475097656, 108.39012145996094, 103.04646911621094, 96.86880645751953, 91.82273712158204, 87.39898223876953, 82.31479339599609, 77.98722381591797, 73.7996322631836, 69.96599426269532, 66.13864288330078, 62.585391235351565, 59.67774887084961, 56.064996337890626, 52.95238189697265, 50.2827507019043, 47.383863830566405, 44.80417098999023, 42.213721466064456, 39.775701904296874, 37.47749557495117, 35.41566848754883, 33.36793518066406, 31.299884033203124, 29.50160484313965, 27.854319381713868, 26.166345596313477, 24.49369659423828, 22.94280014038086, 21.56573028564453, 20.17350044250488, 18.929462432861328, 17.67870101928711, 16.51278610229492]",616225
1,512,"[821.9008056640625, 408.0480529785156, 343.4632141113281, 303.0124267578125, 274.7723083496094, 250.90135803222657, 229.62498474121094, 213.478857421875, 198.28740539550782, 185.5043182373047, 174.17897033691406, 163.06945190429687, 152.97642517089844, 144.58599548339845, 136.0196990966797, 128.51307678222656, 121.75699462890626, 114.48168334960937, 108.13164825439453, 102.80999145507812, 97.05830230712891, 91.83326416015625, 87.13799743652343, 82.22900848388672, 77.85355834960937, 73.88378143310547, 69.9467529296875, 66.04080963134766, 62.70901870727539, 59.268017578125, 56.080970764160156, 53.14814758300781, 50.31734771728516, 47.44326171875, 44.647203826904295, 42.14809799194336, 39.86665420532226, 37.61941680908203, 35.43256759643555, 33.286984252929685, 31.473218154907226, 29.430230712890626, 27.743072509765625, 26.245024108886717, 24.48826446533203, 22.93618240356445, 21.55262336730957, 20.134243392944335, 18.903931427001954, 17.700817108154297, 16.569987869262697]",402705
1,374,"[3673.502197265625, 478.21258544921875, 367.9774475097656, 313.33408813476564, 280.54181518554685, 252.73285827636718, 231.8896026611328, 215.1453399658203, 200.08072509765626, 186.4621612548828, 174.57823486328124, 164.10376892089843, 153.74774475097655, 144.41879272460938, 136.45028381347657, 128.7282745361328, 122.05186157226562, 114.50575561523438, 108.52507934570312, 102.74249114990235, 97.33452606201172, 92.1130859375, 87.25274505615235, 82.0867919921875, 78.28344268798828, 73.89629974365235, 69.88896484375, 66.27556457519532, 62.51961975097656, 59.43183364868164, 55.89102478027344, 52.97595977783203, 50.225345611572266, 47.402306365966794, 44.59534378051758, 42.31880416870117, 39.66775360107422, 37.547089385986325, 35.32481002807617, 33.22781066894531, 31.41765441894531, 29.6007511138916, 27.87004699707031, 26.19477996826172, 24.476546859741212, 22.982569885253906, 21.48952293395996, 20.247603988647462, 18.943497085571288, 17.694882202148438, 16.519159698486327]",294375
1,256,"[11712.3626953125, 755.8550659179688, 479.1069641113281, 372.5970031738281, 315.52984619140625, 277.0854248046875, 248.54998168945312, 226.48961181640624, 206.69197998046874, 192.16234130859374, 179.10284729003905, 167.04244079589844, 155.56744079589845, 146.66412658691405, 137.18433532714843, 129.7776672363281, 122.6046127319336, 115.95291442871094, 109.29283599853515, 103.5239044189453, 97.75187072753906, 92.43534088134766, 87.39280242919922, 82.58384246826172, 78.14811401367187, 74.3921875, 69.97801818847657, 66.34226684570312, 62.808447265625, 59.44832229614258, 56.259030151367185, 53.009681701660156, 50.136776733398435, 47.50417709350586, 44.747013854980466, 42.220296478271486, 39.87919235229492, 37.57627716064453, 35.432029724121094, 33.2816764831543, 31.321978759765624, 29.552780532836913, 27.830517578125, 26.01114501953125, 24.596921920776367, 22.915577697753907, 21.554538345336915, 20.18233871459961, 18.835772705078124, 17.685043716430663, 16.55978317260742]",201745
1,192,"[20114.709375, 1082.68818359375, 618.9813232421875, 448.81126098632814, 365.92047119140625, 309.74485473632814, 270.5347412109375, 243.6014892578125, 220.00343322753906, 201.10491943359375, 186.33428039550782, 172.4933288574219, 161.01614074707032, 149.63501586914063, 140.54712524414063, 132.20228881835936, 124.25290374755859, 116.60679931640625, 110.35437774658203, 103.71291656494141, 98.08820953369141, 92.8187255859375, 88.29032440185547, 83.20138702392578, 78.74383087158203, 74.52821044921875, 70.340625, 66.50918731689453, 62.90131454467773, 59.5751235961914, 56.40181274414063, 52.93630523681641, 50.337189483642575, 47.41742706298828, 45.01500625610352, 42.377566528320315, 39.79587936401367, 37.566046142578124, 35.5252067565918, 33.34882125854492, 31.417003631591797, 29.599045181274413, 27.790755844116212, 26.127834701538085, 24.43643913269043, 22.92339324951172, 21.587769317626954, 20.261263275146483, 18.852767944335938, 17.733838653564455, 16.52143096923828]",151505
1,128,"[35317.0765625, 1728.1629638671875, 902.0140869140625, 621.5342407226562, 477.44016723632814, 388.1477294921875, 328.771728515625, 285.7507690429687, 251.99827270507814, 227.1802947998047, 205.65838928222655, 187.90665588378906, 173.25122985839843, 160.04856872558594, 148.32184143066405, 138.687841796875, 129.7843048095703, 121.32168426513672, 113.65635681152344, 106.86240081787109, 100.86739044189453, 94.59035949707031, 89.1867904663086, 84.1961181640625, 79.18120727539062, 75.06876678466797, 71.04838256835937, 67.36611633300781, 63.571058654785155, 60.004398345947266, 56.67680206298828, 53.475439453125, 50.54404754638672, 47.6875617980957, 44.999141693115234, 42.50338897705078, 39.89323043823242, 37.78559036254883, 35.41483993530274, 33.56573715209961, 31.50693130493164, 29.55546417236328, 27.795697021484376, 26.234357833862305, 24.52542915344238, 22.935229873657228, 21.641630554199217, 20.176148223876954, 18.95765800476074, 17.67666358947754, 16.535712051391602]",101265
1,96,"[49748.56796875, 2368.637744140625, 1196.6685546875, 796.3607055664063, 595.7584594726562, 476.19562377929685, 394.3755126953125, 338.3800964355469, 291.3654479980469, 259.002490234375, 230.9592498779297, 208.18076171875, 190.0558319091797, 173.19483032226563, 159.9265380859375, 147.8852966308594, 137.1355224609375, 127.27462615966797, 119.0671890258789, 111.28624877929687, 103.98132781982422, 97.73752899169922, 91.7828598022461, 86.15052947998046, 81.18163146972657, 76.50074920654296, 71.99982452392578, 67.95159149169922, 64.18820495605469, 60.61304244995117, 57.27936553955078, 53.959180450439455, 50.905059814453125, 48.217881774902345, 45.23117294311523, 42.57704315185547, 40.189883422851565, 38.08498764038086, 35.51850280761719, 33.591163635253906, 31.555428314208985, 29.67341194152832, 27.98819770812988, 26.2342586517334, 24.537189102172853, 23.07609405517578, 21.557857513427734, 20.235270309448243, 18.95845947265625, 17.713956832885742, 16.507621002197265]",76145
1,64,"[76311.63125, 3535.89345703125, 1759.58154296875, 1155.2639404296874, 845.9807495117187, 659.7992919921875, 533.2958251953125, 445.40380859375, 381.93381958007814, 332.12201538085935, 289.17357177734374, 257.1437622070313, 230.52977905273437, 206.88265686035157, 187.9892364501953, 171.01526489257813, 156.85588989257812, 143.96502380371095, 133.01799621582032, 122.86658172607422, 114.06251220703125, 106.27442626953125, 98.98658905029296, 92.27020568847657, 86.13081665039063, 80.89957275390626, 75.50010833740234, 70.90062713623047, 66.7353530883789, 62.49939498901367, 58.70028076171875, 55.49133529663086, 52.36285629272461, 49.202843475341794, 46.14021453857422, 43.46786956787109, 40.8497917175293, 38.382266998291016, 36.14809341430664, 34.01475830078125, 31.912706756591795, 29.927069473266602, 28.160794830322267, 26.32211799621582, 24.760975646972657, 23.206814193725585, 21.701648712158203, 20.266012573242186, 19.024486541748047, 17.801789855957033, 16.60651512145996]",51025
1,32,"[142652.2125, 6462.3732421875, 3187.594091796875, 2050.1717529296875, 1480.813525390625, 1142.47001953125, 915.8892700195313, 749.6400024414063, 627.728466796875, 533.9940307617187, 462.975927734375, 403.499755859375, 355.3673095703125, 310.2886596679688, 278.71376953125, 248.57164306640624, 223.46524353027343, 201.27774047851562, 181.82443542480468, 165.7005187988281, 151.24204711914064, 138.07906494140624, 125.88162536621094, 115.9714859008789, 106.81829071044922, 98.3231689453125, 90.779296875, 84.23605804443359, 77.63023071289062, 72.12191162109374, 67.05170593261718, 62.10912246704102, 57.96534957885742, 54.018219757080075, 50.57202377319336, 47.21602249145508, 43.98675537109375, 41.1259407043457, 38.47584533691406, 35.8667610168457, 33.36202774047852, 31.36081466674805, 29.388615798950195, 27.27797050476074, 25.613885498046876, 23.811320114135743, 22.312072372436525, 20.86362648010254, 19.47878761291504, 18.080683517456055, 16.905794525146483]",25905
1,16,"[225951.878125, 10258.752734375, 4999.69365234375, 3209.05986328125, 2309.82412109375, 1768.7205322265625, 1409.543408203125, 1158.1093994140624, 958.258203125, 812.5196166992188, 695.741015625, 605.4857055664063, 528.3522827148438, 465.88255004882814, 406.15342407226564, 361.87745361328126, 323.02647705078124, 288.41111450195314, 258.32668151855466, 231.53374328613282, 209.69624938964844, 190.5017852783203, 171.7352325439453, 155.3719909667969, 141.81023254394532, 129.67997131347656, 117.89830017089844, 107.95281524658203, 98.20658111572266, 90.19590911865234, 82.67460479736329, 76.16805877685547, 70.20450134277344, 64.32834930419922, 59.46012954711914, 55.11971664428711, 51.10257263183594, 47.08882598876953, 43.440972900390626, 40.55468521118164, 37.2769172668457, 34.45697937011719, 32.15600433349609, 29.843224334716798, 27.529888534545897, 25.56379852294922, 23.784542083740234, 22.115155029296876, 20.559153747558593, 19.046386337280275, 17.624585723876955]",13345
